n_estimators,max_depth,test_size,MAE,Variance
50,1,0.1,275.95400118857475,374531.2676211139
50,1,0.2,315.34970663078803,281402.2118154181
50,1,0.5,288.73786343195843,317405.07570332824
50,1,0.8,439.09545435931864,11234420.396003077
50,1,0.9,461.2854044094343,10258522.409786059
50,2,0.1,186.06685290450406,322314.7330209984
50,2,0.2,126.8405981888823,140616.3864011611
50,2,0.5,162.87853532690949,2338023.097342368
50,2,0.8,350.0869975665151,10744288.92618145
50,2,0.9,363.07176149857446,10030952.508784143
50,4,0.1,115.4641234222076,168570.10466944167
50,4,0.2,81.63638328119742,98818.35883957021
50,4,0.5,148.12025725210282,2398654.488679572
50,4,0.8,349.9662754505562,10799559.473173333
50,4,0.9,361.4800118325166,9728701.008726746
50,6,0.1,105.20133944643196,162919.27809452784
50,6,0.2,75.38510588150284,89580.46088175566
50,6,0.5,155.27637045297934,2429765.196402226
50,6,0.8,351.40479337511607,10863943.453675674
50,6,0.9,362.1188396797984,9823933.094545918
50,8,0.1,86.65204450185536,130334.41835866963
50,8,0.2,67.20612752971674,83582.93445560157
50,8,0.5,181.448582106001,2909703.9318708167
50,8,0.8,358.9645408166917,10965364.698228663
50,8,0.9,375.05599217137257,9880713.810709732
50,10,0.1,97.20750116564548,144722.26036263505
50,10,0.2,60.51322948563191,69230.214539706
50,10,0.5,165.98777127021017,2482219.728638019
50,10,0.8,361.1574855684553,11108031.367615728
50,10,0.9,357.76293766601475,9529174.428566327
100,1,0.1,117.7732176342364,145085.88382335668
100,1,0.2,111.16494800157017,109784.96603394533
100,1,0.5,110.9671262965252,292592.91308747185
100,1,0.8,351.88495140412994,10699880.659608508
100,1,0.9,383.7182538046232,9825802.294318793
100,2,0.1,165.1523168926369,285637.6047035991
100,2,0.2,111.26976947128895,131833.31272340255
100,2,0.5,146.19332574604073,2391522.9956260007
100,2,0.8,341.6644846015789,10689090.052511266
100,2,0.9,353.8826268828147,9970591.675273266
100,4,0.1,110.01999974464488,156041.16875143538
100,4,0.2,77.1974997558638,93682.87746174252
100,4,0.5,145.50224174812692,2443605.474785734
100,4,0.8,347.3389515296161,10758386.697112322
100,4,0.9,357.70386806993264,9691165.84328205
100,6,0.1,101.21066540308664,151837.63467731024
100,6,0.2,71.56190708765409,84208.76431347014
100,6,0.5,153.06690528578423,2485881.991321882
100,6,0.8,349.0086340570674,10822637.168904804
100,6,0.9,358.86864128089593,9786354.870708043
100,8,0.1,81.73647268046382,120322.9739892917
100,8,0.2,63.131503268319854,79803.74040079436
100,8,0.5,179.37081716325116,2968642.393873806
100,8,0.8,356.9242444764486,10924470.790221108
100,8,0.9,372.43493757511555,9843321.341814918
100,10,0.1,92.67794169131874,134218.00829731862
100,10,0.2,56.483540882676884,64295.04354589213
100,10,0.5,163.7944036963134,2530051.495008145
100,10,0.8,359.4303266460835,11067011.010467784
100,10,0.9,355.2054615822392,9492769.579309741
200,1,0.1,101.74807130848853,124702.11599604857
200,1,0.2,86.98937213193028,99228.63249876625
200,1,0.5,97.75112011811093,300122.9472798043
200,1,0.8,344.0518453176745,10625068.273810754
200,1,0.9,376.74966226899267,9784117.987392403
200,2,0.1,164.92546474328444,286019.4676324981
200,2,0.2,110.62796114389647,131932.69339874777
200,2,0.5,145.827138769059,2393193.420352921
200,2,0.8,341.265792780779,10683690.251619989
200,2,0.9,353.63392036047065,9967802.50731262
200,4,0.1,109.901640699353,155754.80030681673
200,4,0.2,77.07537998395026,93643.57949071465
200,4,0.5,145.43465759028882,2444431.269763387
200,4,0.8,347.34365368356845,10758138.320340501
200,4,0.9,357.68620107743163,9690990.152939608
200,6,0.1,101.15511745621495,151904.06524275817
200,6,0.2,71.53846359781785,84199.38308346753
200,6,0.5,153.04540741804905,2485981.1603767853
200,6,0.8,349.0019588234034,10822434.27696536
200,6,0.9,358.85754520495675,9786160.997627957
200,8,0.1,81.7242897509685,120292.55863973142
200,8,0.2,63.111052747004926,79786.69268170666
200,8,0.5,179.3721797324625,2968925.5828044787
200,8,0.8,356.91789749556386,10924254.483265817
200,8,0.9,372.42581432804565,9843132.979031615
200,10,0.1,92.66456609769243,134163.8060162882
200,10,0.2,56.47228308163264,64270.324211340805
200,10,0.5,163.79518786150754,2530307.8787406045
200,10,0.8,359.42480221246035,11066795.402523233
200,10,0.9,355.19638914698544,9492580.564200852
300,1,0.1,101.53202885995869,123868.05653950863
300,1,0.2,85.45301947444035,98914.36011541572
300,1,0.5,97.03116953056423,300599.3030308926
300,1,0.8,343.70022207742295,10622870.198487574
300,1,0.9,376.32214174116325,9781384.816188198
300,2,0.1,164.7967337042014,285785.76025693153
300,2,0.2,110.49706054387632,132440.34073719353
300,2,0.5,145.75014233595002,2393930.7769496012
300,2,0.8,341.20945239302944,10682607.092534302
300,2,0.9,353.58167428878465,9967225.159768213
300,4,0.1,109.89937075919386,155806.60447720255
300,4,0.2,76.9757836978155,93625.46505565409
300,4,0.5,145.45084542264806,2444634.700708755
300,4,0.8,347.3455805271166,10758062.032537635
300,4,0.9,357.68602574378446,9690984.513196846
300,6,0.1,101.14118638024264,151896.8890202602
300,6,0.2,71.51896326257906,84189.93171340157
300,6,0.5,153.04611921006568,2486027.8946553795
300,6,0.8,349.0018439231342,10822431.495991584
300,6,0.9,358.85754490034174,9786160.992482824
300,8,0.1,81.72142093594147,120290.9614723208
300,8,0.2,63.10941924793669,79786.20771423087
300,8,0.5,179.37246031660794,2968929.1986410394
300,8,0.8,356.9178973298767,10924254.477619652
300,8,0.9,372.42581407131587,9843132.973853659
300,10,0.1,92.66456775101662,134163.78882160026
300,10,0.2,56.47227610504704,64270.303479418995
300,10,0.5,163.79518739834583,2530307.882084801
300,10,0.8,359.42480205720335,11066795.396786775
300,10,0.9,355.1963889021578,9492580.559162335
500,1,0.1,100.75976506681357,123055.57633789864
500,1,0.2,84.75431008310127,98742.9630326608
500,1,0.5,96.63767540335982,300962.8008017143
500,1,0.8,343.51379268250037,10621800.931342581
500,1,0.9,376.0684368389613,9780395.130355915
500,2,0.1,165.03430638727065,286379.7293794149
500,2,0.2,110.39707619591525,132885.23379089907
500,2,0.5,145.8546027325188,2394969.313331915
500,2,0.8,341.1788756902908,10681637.973634157
500,2,0.9,353.56276853720067,9967127.257896097
500,4,0.1,109.90453754323255,155871.18620007767
500,4,0.2,77.02479552346357,93583.14535057683
500,4,0.5,145.43790852801177,2444879.180654825
500,4,0.8,347.3493550741568,10758044.273719076
500,4,0.9,357.6859716928335,9690983.601727882
500,6,0.1,101.13238876282531,151893.6121516426
500,6,0.2,71.5070437434244,84191.67378077483
500,6,0.5,153.04527711695874,2486041.70666452
500,6,0.8,349.0018197841101,10822431.049295127
500,6,0.9,358.85754490034174,9786160.992482824
500,8,0.1,81.71813834295313,120290.90371327619
500,8,0.2,63.108541744507384,79785.68133569787
500,8,0.5,179.3721124287504,2968929.9027812053
500,8,0.8,356.9178973298156,10924254.47761911
500,8,0.9,372.42581407131587,9843132.973853659
500,10,0.1,92.66464196185827,134163.8237157031
500,10,0.2,56.472257210525804,64270.29698960422
500,10,0.5,163.79518738585568,2530307.8822216257
500,10,0.8,359.42480205720335,11066795.396786775
500,10,0.9,355.1963889021578,9492580.559162335
