num_layers,test_size,sparsity,mean_prediction,variance_prediction,mae,smape
1,0.1,0.0,115.36055,3413.0178,2.9612021,2.9805151745676994
1,0.1,0.25,114.64205,3592.663,5.0797615,4.9973443150520325
1,0.1,0.5,115.667465,3517.5823,6.2642436,5.945557355880737
1,0.1,0.9,116.69996,3619.0476,14.5830555,13.127447664737701
1,0.2,0.0,116.461716,3527.0088,2.102456,1.9744733348488808
1,0.2,0.25,116.52698,3525.6326,4.68653,4.321719333529472
1,0.2,0.5,117.11822,3410.1765,5.9491377,6.017056107521057
1,0.2,0.9,116.19431,3580.6882,13.086243,12.24571168422699
1,0.5,0.0,108.4466,3220.2385,2.3899624,2.4513840675354004
1,0.5,0.25,107.66476,3238.4885,4.7994986,5.0258103758096695
1,0.5,0.5,107.13539,3496.8057,6.2522626,6.982255727052689
1,0.5,0.9,107.72195,3202.6216,13.157905,14.422427117824554
1,0.8,0.0,106.27845,3117.4082,3.0256171,3.1008675694465637
1,0.8,0.25,107.52116,3232.0723,4.9946637,5.445542186498642
1,0.8,0.5,106.72061,3099.5967,5.955649,6.713733077049255
1,0.8,0.9,109.418076,3361.5977,13.491878,14.540193974971771
1,0.9,0.0,108.03479,3178.8687,3.5786843,3.4125428646802902
1,0.9,0.25,108.45552,3066.655,5.1939564,5.472782999277115
1,0.9,0.5,108.33507,3141.9001,6.6779017,7.533293962478638
1,0.9,0.9,107.327126,2893.9443,12.829737,13.97082656621933
2,0.1,0.0,115.86703,3571.8257,2.779031,2.6460833847522736
2,0.1,0.25,115.43791,3499.4714,4.6775823,4.320665821433067
2,0.1,0.5,115.52331,3603.1445,6.182501,5.806291475892067
2,0.1,0.9,115.6932,3478.1353,11.688498,10.84037721157074
2,0.2,0.0,117.66039,3614.5017,2.4760664,2.1539228036999702
2,0.2,0.25,116.55398,3500.4856,4.282811,3.974062204360962
2,0.2,0.5,119.90213,3798.4712,6.3077064,5.788397043943405
2,0.2,0.9,116.02011,3524.071,11.783493,10.938160121440887
2,0.5,0.0,107.58372,3411.853,2.7287185,2.64691524207592
2,0.5,0.25,108.32709,3236.9744,4.2575526,4.264580085873604
2,0.5,0.5,107.298225,3171.0134,5.5518513,5.943579971790314
2,0.5,0.9,108.53617,3166.4893,11.735121,12.52494752407074
2,0.8,0.0,107.33268,3033.4355,2.8627691,2.7972137555480003
2,0.8,0.25,107.620865,3056.7976,4.3360577,4.391547664999962
2,0.8,0.5,106.869484,3106.1458,5.5817657,6.32978156208992
2,0.8,0.9,109.41838,3166.6274,12.382924,13.204270601272583
2,0.9,0.0,108.41011,3218.4355,3.264487,2.9988205060362816
2,0.9,0.25,108.56243,3077.2166,4.601779,4.6151358634233475
2,0.9,0.5,108.034966,3148.3394,5.586172,6.188278645277023
2,0.9,0.9,106.88896,2657.5684,12.592344,13.581028580665588
4,0.1,0.0,115.29583,3431.1106,2.665646,2.527535706758499
4,0.1,0.25,116.00037,3601.4104,4.680829,4.197923094034195
4,0.1,0.5,114.63648,3397.5557,6.238419,5.897430330514908
4,0.1,0.9,116.6273,3566.2246,10.953182,10.12594848871231
4,0.2,0.0,116.55028,3605.5571,2.249327,1.9956804811954498
4,0.2,0.25,118.09924,3382.0713,4.44771,4.364706948399544
4,0.2,0.5,116.29689,3380.923,5.511024,5.308158323168755
4,0.2,0.9,117.13516,3382.3413,10.799973,9.801462292671204
4,0.5,0.0,106.68355,3157.9966,2.3809617,2.342735044658184
4,0.5,0.25,106.70568,3265.3723,4.317103,4.507805034518242
4,0.5,0.5,107.048645,3144.8867,5.3148584,5.604007840156555
4,0.5,0.9,107.57312,3033.1802,10.522615,11.337035149335861
4,0.8,0.0,106.99093,3150.9336,2.85386,2.697465196251869
4,0.8,0.25,107.40288,3101.7195,3.9703543,4.070192202925682
4,0.8,0.5,107.11386,3147.331,5.490829,6.023913621902466
4,0.8,0.9,109.62137,3135.2026,12.371799,13.34855854511261
4,0.9,0.0,108.76486,3225.0847,3.1818876,2.9206031933426857
4,0.9,0.25,109.10541,3147.5466,4.191044,4.182344675064087
4,0.9,0.5,107.72504,3086.8904,5.581835,5.811437964439392
4,0.9,0.9,107.14217,2524.3042,12.510695,13.23777288198471
6,0.1,0.0,114.93415,3494.768,2.613382,2.432643622159958
6,0.1,0.25,115.82625,3536.368,4.931832,4.320740699768066
6,0.1,0.5,114.58118,3474.6353,6.283577,6.038422882556915
6,0.1,0.9,115.16336,3421.3245,13.523264,11.758456379175186
6,0.2,0.0,115.72284,3380.4866,2.4231071,2.1603161469101906
6,0.2,0.25,117.12898,3503.8242,5.241446,5.730058625340462
6,0.2,0.5,106.62982,1953.8519,13.29796,9.823167324066162
6,0.2,0.9,119.347694,3491.8826,12.030551,11.223062127828598
6,0.5,0.0,108.27884,3425.2898,2.7892427,2.6074713096022606
6,0.5,0.25,115.52086,2483.325,11.028333,14.196521043777466
6,0.5,0.5,106.99667,2964.6511,6.644069,6.8711623549461365
6,0.5,0.9,106.48839,2651.5283,11.769976,11.714640259742737
6,0.8,0.0,107.41956,3109.3582,3.1421852,2.9163992032408714
6,0.8,0.25,107.47985,3085.3179,3.8928397,3.9740029722452164
6,0.8,0.5,92.532906,1099.1895,18.128685,14.129148423671722
6,0.8,0.9,94.92148,1100.5925,21.563618,20.038601756095886
6,0.9,0.0,108.30133,3243.9727,5.3118963,5.416277423501015
6,0.9,0.25,122.40817,5.820766e-11,50.988316,46.653544902801514
6,0.9,0.5,107.14968,3102.0776,5.663475,5.937222391366959
6,0.9,0.9,81.96793,371.90274,34.871666,30.267953872680664
8,0.1,0.0,107.708176,5.820766e-11,49.783234,44.36146020889282
8,0.1,0.25,107.637375,0.0,49.778065,44.35751736164093
8,0.1,0.5,115.655685,3399.004,6.5473504,5.839892849326134
8,0.1,0.9,107.95222,5.820766e-11,49.803017,44.376784563064575
8,0.2,0.0,106.319046,5.820766e-11,49.1829,43.83929371833801
8,0.2,0.25,109.99824,2130.6362,10.378545,7.491828501224518
8,0.2,0.5,104.50872,5.820766e-11,49.23886,43.90610754489899
8,0.2,0.9,113.07765,2475.8835,13.25592,11.414911597967148
8,0.5,0.0,103.689224,2.3283064e-10,46.184967,43.1812047958374
8,0.5,0.25,109.63182,5.820766e-11,47.341797,44.15528178215027
8,0.5,0.5,108.784355,3023.9417,6.2819905,6.704925000667572
8,0.5,0.9,108.14305,5.820766e-11,46.971104,43.846872448921204
8,0.8,0.0,114.51481,2267.5781,13.264377,17.15799868106842
8,0.8,0.25,113.87524,5.820766e-11,47.643238,44.57186162471771
8,0.8,0.5,103.92421,647.8976,23.32589,22.654564678668976
8,0.8,0.9,119.83916,2.3283064e-10,49.606075,46.0549533367157
8,0.9,0.0,120.08666,2.3283064e-10,50.211033,46.09618782997131
8,0.9,0.25,107.122604,5.820766e-11,46.681076,43.34511458873749
8,0.9,0.5,106.11177,5.820766e-11,46.517113,43.20824444293976
8,0.9,0.9,105.11097,2.3283064e-10,46.37921,43.09282600879669
10,0.1,0.0,107.92302,5.820766e-11,49.800648,44.37495470046997
10,0.1,0.25,108.84862,0.0,49.892956,44.44781541824341
10,0.1,0.5,107.838486,5.820766e-11,49.793797,44.36965584754944
10,0.1,0.9,108.00759,5.820766e-11,49.807507,44.38024461269379
10,0.2,0.0,107.34587,0.0,49.197994,43.843260407447815
10,0.2,0.25,106.04814,5.820766e-11,49.182568,43.841367959976196
10,0.2,0.5,106.78747,0.0,49.18606,43.83785128593445
10,0.2,0.9,107.01624,5.820766e-11,49.18999,43.839237093925476
10,0.5,0.0,109.54772,0.0,47.319775,44.13708746433258
10,0.5,0.25,108.96932,5.820766e-11,47.172867,44.01537775993347
10,0.5,0.5,116.37215,0.0,49.362823,45.75870335102081
10,0.5,0.9,108.31518,5.820766e-11,47.01194,43.881067633628845
10,0.8,0.0,115.40477,5.820766e-11,48.127422,44.947999715805054
10,0.8,0.25,130.4608,2.3283064e-10,53.58894,48.79009127616882
10,0.8,0.5,112.22258,5.820766e-11,47.145863,44.178420305252075
10,0.8,0.9,136.75557,0.0,56.23168,50.45408606529236
10,0.9,0.0,82.77123,0.0,46.707695,43.37923526763916
10,0.9,0.25,106.5846,0.0,46.591896,43.27085614204407
10,0.9,0.5,107.88637,5.820766e-11,46.822323,43.4626579284668
10,0.9,0.9,107.77918,5.820766e-11,46.801403,43.44525635242462
